"state","year","grade","score","median_income","total_pop","poverty_rate","child_poverty_rate","unemployment_rate","pct_black","pct_hispanic","bach_or_higher_rate","no_computer_rate","internet_rate","post2020"
"INDIANA",2019,4,221.812962059612,56303,6461389,0.134335821601207,0.18478814526847,0.0479660271236021,0.0924951201696205,0.069287515510367,0.264565591233301,0.241989425256973,0.806058856552181,0
"KANSAS",2019,4,219.133566574447,59597,2826056,0.119508955236556,0.149155529110216,0.0406285902674406,0.0565196388987759,0.118763768392786,0.333846927816582,0.250546560449515,0.822159760615005,0
"KENTUCKY",2019,4,220.929888641558,50589,4309501,0.173340254474938,0.2347402353543,0.0558097605160202,0.0795668380589842,0.0366356698011172,0.242152858490944,0.233029368353855,0.788321693883034,0
"LOUISIANA",2019,4,209.873121958397,49469,4532714,0.192261633979113,0.271926750962654,0.064843400107965,0.319955012068103,0.051274750973445,0.241135394011109,0.242842864384465,0.757673626341408,0
"MASSACHUSETTS",2019,4,231.091059288799,81215,6615375,0.102936265895735,0.131517571955949,0.048305596025007,0.0690719420753332,0.118118785446956,0.436889061863783,0.206879879453213,0.866656962739594,0
"MARYLAND",2019,4,219.838944928094,84805,5876434,0.0918909324940942,0.121006323581168,0.0507664249129631,0.293842941373499,0.100763800647566,0.401720412234043,0.227804641376626,0.867020466133746,0
"MAINE",2019,4,221.236527103754,57918,1298787,0.117903089575119,0.150997011615155,0.0413561949212042,0.0130049449940546,0.0165482084505186,0.318121950443325,0.193398372456627,0.828702620548256,0
"MICHIGAN",2019,4,218.266956539571,57144,9741628,0.143561938517874,0.199298991071261,0.059386634077106,0.136276757316539,0.0509121433298563,0.291359187962686,0.223066634747011,0.819471766622,0
"MINNESOTA",2019,4,222.393248950052,71306,5440087,0.0967015784857852,0.121576332089505,0.0361969945239484,0.0628769068001491,0.0538442651209391,0.360818444875096,0.237770453338675,0.853620259489029,0
"MISSOURI",2019,4,218.00163625009,55461,5922570,0.136772549754583,0.186533002601846,0.0457456323064191,0.114068675869096,0.0417354227990257,0.292180164619743,0.232052017555487,0.806468446536601,0
"MISSISSIPPI",2019,4,219.342215016725,45081,2886767,0.202921122487544,0.286739040617743,0.0747087733912029,0.375790522641265,0.0305593921494911,0.220255913183882,0.246055903469351,0.718750735697586,0
"MONTANA",2019,4,221.67913092515,54970,1025221,0.131293643029162,0.157547377353154,0.0402984403625043,0.0044410645229758,0.038370569048274,0.320296697751263,0.221945796126729,0.814532884911574,0
"NORTH CAROLINA",2019,4,221.280043715178,54602,9984891,0.146981173855578,0.211761485594309,0.0557616036059213,0.210942733258541,0.0937824285456541,0.312556854312208,0.229429224558058,0.810906467360084,0
"NORTH DAKOTA",2019,4,221.177007147619,64894,732326,0.106780313685435,0.113969353362907,0.0275688374970995,0.0285139622870902,0.0374208587886885,0.300477914145128,0.239526016981475,0.810113658496742,0
"NEBRASKA",2019,4,222.362133819339,61439,1859691,0.111082432511638,0.139058948129779,0.0334075939277212,0.0469410640817186,0.108782071806164,0.319118067889876,0.253393470836496,0.838684310357546,0
"NEW HAMPSHIRE",2019,4,224.264004126578,76768,1305013,0.0756176375254499,0.0921290930876662,0.0362288692445561,0.013600380973857,0.037454269785272,0.370429338867502,0.198514899240071,0.881504481831151,0
"NEW JERSEY",2019,4,227.189417167925,82545,8706202,0.0998232064911887,0.1404175062498,0.0551411960558768,0.126771483886416,0.202143987561867,0.397136427805705,0.224981147065768,0.861137841388618,0
"NEW MEXICO",2019,4,207.564688511317,49754,2049986,0.191252525627004,0.267260018270846,0.0666502819019771,0.0181179610161084,0.487856363867497,0.273284113751816,0.237632061860549,0.751983020804897,0
"NEVADA",2019,4,217.617561606892,60365,2929882,0.131298803159991,0.182181123268472,0.0616586857585821,0.0874053200429824,0.286989020926651,0.247318548732207,0.231624487325752,0.834734508038398,0
"NEW YORK",2019,4,219.604193649582,68486,19063180,0.140652136736893,0.196437248891756,0.0545011267860522,0.142574009753264,0.190114569459041,0.365744574670496,0.215015156819769,0.831557730558498,0
"OHIO",2019,4,221.969268954792,56602,11331030,0.140176400556701,0.199131320357871,0.0532126708164077,0.122337059818726,0.0380437491747385,0.282771948112391,0.229278010262893,0.824062871148873,0
"OKLAHOMA",2019,4,216.35068432151,52919,3817368,0.156750148269698,0.215134414413647,0.0507960279749346,0.0714348554617874,0.106259805180441,0.255203141251377,0.24962900278722,0.789508675655936,0
"OREGON",2019,4,217.71771124627,62818,4052019,0.131669422083164,0.165517865793719,0.0547186141396502,0.0182168495688535,0.130082960373655,0.336646027009779,0.214038897626728,0.863739793620524,0
"PENNSYLVANIA",2019,4,223.213382797261,61744,12380284,0.124325338578663,0.175567939654427,0.0530604563977031,0.106558245964322,0.0731121296670531,0.314296636495458,0.214378020549663,0.820517915119928,0
